Product Name,Category,Price (£),Customer Rating,Rating Count
"SAMSUNG QE50QN94AATXXU 50"" Smart 4K Ultra HD HDR Neo QLED TV with Bixby, Alexa & Google Assistant",TV,799.0,4.45,172.0
"SAMSUNG QE65QN95AATXXU 65"" Smart 4K Ultra HD HDR Neo QLED TV with Bixby, Alexa & Google Assistant",TV,1499.0,4.45,142.0
"LG OLED42C24LA 42"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,1299.0,,0.0
"SAMSUNG QE55QN700ATXXU 55"" Smart 8K HDR Neo QLED TV with Bixby, Alexa & Google Assistant",TV,1199.0,4.05,12.0
"SAMSUNG The Frame QE43LS03AAUXXU 43"" Smart 4K Ultra HD HDR QLED TV with Bixby, Alexa & Google Assistant",TV,699.0,4.3,128.0
"SAMSUNG UE43AU9007KXXU 43"" Smart 4K Ultra HD HDR LED TV with Bixby, Alexa & Google Assistant",TV,369.0,4.35,322.0
"LOGIK L43AUE21 Android TV 43"" Smart 4K Ultra HD HDR LED TV with Google Assistant",TV,199.0,3.85,112.0
"SAMSUNG UE43TU7020KXXU 43"" Smart 4K Ultra HD HDR LED TV",TV,329.0,4.5,9325.0
"SAMSUNG UE50AU9007KXXU 50"" Smart 4K Ultra HD HDR LED TV with Bixby, Alexa & Google Assistant",TV,429.0,4.35,175.0
"SONY BRAVIA XR55A84JU 55"" Smart 4K Ultra HD HDR OLED TV with Google TV & Assistant",TV,1299.0,4.5,143.0
"SONY BRAVIA KD43X85JU 43"" Smart 4K Ultra HD HDR LED TV with Google TV & Assistant",TV,579.0,4.2,215.0
"SONY BRAVIA XR65A84JU 65"" Smart 4K Ultra HD HDR OLED TV with Google TV & Assistant",TV,1799.0,4.6,59.0
"SONY BRAVIA KD55X85JU 55"" Smart 4K Ultra HD HDR LED TV with Google TV & Assistant",TV,629.0,4.1,50.0
"SONY BRAVIA KD50X85JU 50"" Smart 4K Ultra HD HDR LED TV with Google TV & Assistant",TV,584.0,4.3,50.0
"SAMSUNG QE75QN94AATXXU 75"" Smart 4K Ultra HD HDR Neo QLED TV with Bixby, Alexa & Google Assistant",TV,2199.0,4.75,8.0
"SONY BRAVIA KD65X85JU 65"" Smart 4K Ultra HD HDR LED TV with Google TV & Assistant",TV,849.0,4.3,15.0
"SONY BRAVIA KD85X85JU 85"" Smart 4K Ultra HD HDR LED TV with Google TV & Assistant",TV,1889.0,5.0,3.0
"SONY BRAVIA XR77A84JU 77"" Smart 4K Ultra HD HDR OLED TV with Google TV & Assistant",TV,2899.0,4.5,15.0
"SONY BRAVIA KD75X85JU 75"" Smart 4K Ultra HD HDR LED TV with Google TV & Assistant",TV,1249.0,4.55,8.0
"LG OLED83C14LA 83"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,3999.0,5.0,1.0
"SAMSUNG QE55Q70AATXXU 55"" Smart 4K Ultra HD HDR QLED TV with Bixby, Alexa & Google Assistant",TV,749.0,4.55,186.0
"SAMSUNG UE32T4300AKXXU 32"" Smart HD Ready HDR LED TV",TV,219.0,4.4,4101.0
"LG OLED65C14LB 65"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,1349.0,4.7,159.0
"LG OLED55A16LA 55"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,719.0,4.55,250.0
"SAMSUNG QE65QN94AATXXU 65"" Smart 4K Ultra HD HDR Neo QLED TV with Bixby, Alexa & Google Assistant",TV,1399.0,4.4,40.0
"LG OLED77C14LB 77"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,2479.0,4.7,17.0
"SAMSUNG UE75AU9007KXXU 75"" Smart 4K Ultra HD HDR LED TV with Bixby, Alexa & Google Assistant",TV,899.0,4.45,1138.0
"SAMSUNG QE65QN800ATXXU 65"" Smart 8K HDR Neo QLED TV with Bixby, Alexa & Google Assistant",TV,1999.0,4.5,29.0
"SAMSUNG QE85QN94CATXXU 85"" Smart 4K Ultra HD HDR Neo QLED TV with Bixby, Alexa & Google Assistant",TV,3299.0,4.65,3.0
"TCL 32RS520K Roku 32"" Smart HD Ready LED TV",TV,159.0,4.45,345.0
"SAMSUNG UE65TU7020KXXU 65"" Smart 4K Ultra HD HDR LED TV",TV,499.0,4.5,9325.0
"HISENSE 50A6GTUK 50"" Smart 4K Ultra HD HDR LED TV with Alexa & Google Assistant",TV,279.0,4.5,170.0
"JVC LT-50CF810 50"" Smart 4K Ultra HD HDR LED Fire TV with Amazon Alexa",TV,299.0,4.4,50.0
"HISENSE 43A6GTUK 43"" Smart 4K Ultra HD HDR LED TV with Alexa & Google Assistant",TV,229.0,4.4,176.0
"SAMSUNG UE55TU7020KXXU 55"" Smart 4K Ultra HD HDR LED TV",TV,429.0,4.5,9323.0
"SAMSUNG UE50TU7020KXXU 50"" Smart 4K Ultra HD HDR LED TV",TV,369.0,4.5,9323.0
"LG 43UP75006LF 43"" Smart 4K Ultra HD HDR LED TV",TV,279.0,4.4,346.0
"TCL 40RS520K Roku 40"" Smart Full HD HDR LED TV",TV,199.0,4.45,345.0
"SAMSUNG LS27AM500NUXEN 27"" Full HD HDR LED Smart Display with Bixby (No Aerial)",TV,229.99,4.3,279.0
"SHARP 1T-C32BC5KH2FB 32"" Smart HD Ready LED TV",TV,159.99,4.25,557.0
"LG 32LQ63006LA 32"" Smart Full HD HDR LED TV",TV,219.99,,0.0
"SAMSUNG UE43AU7100KXXU 43"" Smart 4K Ultra HD HDR LED TV",TV,349.0,4.45,1143.0
"JVC LT-75CF810 75"" Smart 4K Ultra HD HDR LED Fire TV with Amazon Alexa",TV,599.0,3.5,3.0
"SAMSUNG QE43Q60AAUXXU 43"" Smart 4K Ultra HD HDR QLED TV with Bixby, Alexa & Google Assistant",TV,449.0,4.4,1018.0
"LG OLED55C14LB 55"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,899.0,4.7,397.0
"LG 50UP75006LF 50"" Smart 4K Ultra HD HDR LED TV",TV,329.0,4.45,122.0
"JVC LT-43CA790 Android TV 43"" Smart Full HD LED TV with Google Assistant",TV,229.99,4.1,429.0
"TOSHIBA 24WK3C63DB 24"" Smart HD Ready HDR LED TV with Amazon Alexa",TV,149.0,4.4,68.0
SHARP 1T-C24BE0KR1FB 24” Smart HD Ready LED TV with Built-in DVD Player,TV,149.99,4.1,323.0
"LG 55UP78006LB 55"" Smart 4K Ultra HD HDR LED TV with Google Assistant & Amazon Alexa",TV,389.0,4.4,124.0
"JVC LT-43CF810 43"" Smart 4K Ultra HD HDR LED Fire TV with Amazon Alexa",TV,249.0,3.85,42.0
"SAMSUNG LS32AM700UUXEN 32"" 4K Ultra HD HDR LED Smart Display with Bixby (No Aerial)",TV,349.99,4.4,186.0
"SAMSUNG UE75TU7020KXXU 75"" Smart 4K Ultra HD HDR LED TV",TV,749.0,4.5,9325.0
"SAMSUNG UE65AU7100KXXU 65"" Smart 4K Ultra HD HDR LED TV",TV,549.0,4.45,1138.0
"LG 50UP78006LB 50"" Smart 4K Ultra HD HDR LED TV with Google Assistant & Amazon Alexa",TV,339.0,4.4,188.0
"HISENSE 32A4GTUK 32"" Smart HD Ready LED TV with Amazon Alexa",TV,159.0,4.25,50.0
"LG 22TN410V 21.5"" Full HD LED TV Monitor",TV,119.99,4.45,440.0
"HISENSE 55A6GTUK 55"" Smart 4K Ultra HD HDR LED TV with Alexa & Google Assistant",TV,329.0,4.5,170.0
"SAMSUNG UE55AU9007KXXU 55"" Smart 4K Ultra HD HDR LED TV with Bixby, Alexa & Google Assistant",TV,499.0,4.4,47.0
"LG 55UP75006LF 55"" Smart 4K Ultra HD HDR LED TV",TV,379.0,4.6,118.0
"PANASONIC TX-43JX600B 43"" Smart 4K Ultra HD HDR LED TV",TV,299.0,4.35,23.0
"LG 65UP75006LF 65"" Smart 4K Ultra HD HDR LED TV",TV,479.0,4.55,70.0
"SAMSUNG UE32T5300CKXXU 32"" Smart Full HD HDR LED TV",TV,249.0,4.3,1514.0
"SAMSUNG QE55Q80AATXXU 55"" Smart 4K Ultra HD HDR QLED TV with Bixby, Alexa & Google Assistant",TV,699.0,4.65,230.0
"LG 24TN510S 24"" Smart HD Ready LED TV",TV,149.99,4.5,1616.0
"SAMSUNG UE65AU9007KXXU 65"" Smart 4K Ultra HD HDR LED TV with Bixby, Alexa & Google Assistant",TV,649.0,4.5,69.0
"LOGIK L24HE21 24"" HD Ready LED TV",TV,119.99,4.2,107.0
"TOSHIBA 50UK3163DB 50"" Smart 4K Ultra HD HDR LED TV with Amazon Alexa",TV,299.0,4.35,19.0
"PHILIPS 58PUS9006/12 58"" Smart 4K Ultra HD HDR LED TV with Google Assistant",TV,499.0,4.3,26.0
"SAMSUNG UE43AU9000KXXU 43"" Smart 4K Ultra HD HDR LED TV with Bixby, Alexa & Google Assistant",TV,369.0,4.25,244.0
"SAMSUNG LS32AM500NUXEN 32"" Full HD HDR LED Smart Display with Bixby (No Aerial)",TV,279.99,4.25,221.0
"SAMSUNG UE43AU8000KXXU 43"" Smart 4K Ultra HD HDR LED TV with Bixby, Alexa & Google Assistant",TV,339.0,4.3,314.0
