Product Name,Category,Price (£),Customer Rating,Rating Count
"HISENSE 55A7GQTUK 55"" Smart 4K Ultra HD HDR QLED TV with Alexa & Google Assistant",TV,449.0,4.6,115.0
"LG OLED83C14LA 83"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,3999.0,4.8,284.0
"LG OLED65C14LB 65"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,1399.0,4.8,445.0
"LG OLED55A16LA 55"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,719.0,4.8,197.0
"HISENSE 50A6GTUK 50"" Smart 4K Ultra HD HDR LED TV with Alexa & Google Assistant",TV,279.0,4.5,77.0
"HISENSE 43A6GTUK 43"" Smart 4K Ultra HD HDR LED TV with Alexa & Google Assistant",TV,229.0,4.5,75.0
"LG 43UP75006LF 43"" Smart 4K Ultra HD HDR LED TV",TV,249.0,4.3,115.0
"LG OLED55C14LB 55"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,1051.0,4.7,385.0
"LG 50UP75006LF 50"" Smart 4K Ultra HD HDR LED TV",TV,299.0,4.3,120.0
"SAMSUNG UE75TU7020KXXU 75"" Smart 4K Ultra HD HDR LED TV",TV,749.0,4.5,350.0
"HISENSE 32A4GTUK 32"" Smart HD Ready LED TV with Amazon Alexa",TV,159.0,4.4,43.0
"LG 22TN410V 21.5"" Full HD LED TV Monitor",TV,,,
"LG 22TN410V 21.5"" Full HD LED TV Monitor",TV,329.0,4.5,77.0
"HISENSE 55A6GTUK 55"" Smart 4K Ultra HD HDR LED TV with Alexa & Google Assistant",TV,329.0,4.3,116.0
"LG 55UP75006LF 55"" Smart 4K Ultra HD HDR LED TV",TV,470.0,4.3,119.0
"LG 65UP75006LF 65"" Smart 4K Ultra HD HDR LED TV",TV,,,
,TV,289.0,4.5,38.0
"LG 43UP77006LB 43"" Smart 4K Ultra HD HDR LED TV with Google Assistant & Amazon Alexa",TV,289.0,4.1,9.0
"TOSHIBA 50UK3163DB 50"" Smart 4K Ultra HD HDR LED TV with Amazon Alexa",TV,,,
,TV,599.0,4.8,104.0
"LG OLED48A16LA 48"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,,,
,TV,179.0,3.9,23.0
"TOSHIBA 32WK3C63DB 32"" Smart HD Ready HDR LED TV with Amazon Alexa",TV,449.0,4.5,75.0
"HISENSE 65A6GTUK 65"" Smart 4K Ultra HD HDR LED TV with Alexa & Google Assistant",TV,699.0,4.5,99.0
"LG 75UP75006LC 75"" Smart 4K Ultra HD HDR LED TV",TV,,,
,TV,1199.0,4.8,296.0
"LG OLED65A16LA 65"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,,,
,TV,449.0,4.6,115.0
"HISENSE 55A7GQTUK 55"" Smart 4K Ultra HD HDR QLED TV with Alexa & Google Assistant",TV,,,
,TV,319.0,4.5,29.0
