Product Name,Price (£),Customer Rating,Rating Count
BOSCH Serie 2 KGN34NWEAG 50/50 Fridge Freezer - White,438.0,4.55,543.0
BOSCH Serie 4 KGN39VLEBG 70/30 Fridge Freezer - Inox,699.99,4.6,135.0
BOSCH KGN27NLFAG 50/50 Fridge Freezer - Inox,429.99,4.4,64.0
LG GSLD50DSXM American-Style Fridge Freezer - Dark Graphite,899.99,4.6,33.0
ESSENTIALS C50BS20 60/40 Fridge Freezer - Silver,199.99,4.05,582.0
LOGIK LSBSDX20 American-Style Fridge Freezer - Inox,549.99,4.6,363.0
ESSENTIALS C55CW18 60/40 Fridge Freezer - White,229.0,4.15,747.0
LOGIK LFC50S20 50/50 Fridge Freezer - Silver,269.99,3.6,532.0
ESSENTIALS CE55CW18 50/50 Fridge Freezer - White,229.99,4.3,1535.0
LOGIK LFC55W22 60/40 Fridge Freezer - White,229.99,,0.0
KENWOOD KIFF5020 Integrated 50/50 Fridge Freezer - Sliding Hinge,389.0,4.05,711.0
KENWOOD KIFF7020 Integrated 70/30 Fridge Freezer - Sliding Hinge,389.0,4.1,435.0
LOGIK LFC50W20 50/50 Fridge Freezer - White,269.99,3.6,505.0
SAMSUNG RB34T602ESA/EU 70/30 Fridge Freezer - Silver,449.99,4.55,440.0
BOSCH KGN27NWFAG 50/50 Fridge Freezer - White,399.99,4.55,174.0
LOGIK LSD55W20 50/50 Fridge Freezer - White,289.99,4.35,515.0
KENWOOD KSBSDX20 American-Style Fridge Freezer - Inox,649.99,4.7,389.0
BEKO CFG3582S 50/50 Fridge Freezer - Silver,339.99,4.45,1443.0
SAMSUNG RS8000 RS67A8810B1/EU American-Style Fridge Freezer - Black Stainless Steel,999.99,4.45,1803.0
LOGIK LSSBSS20 American-Style Fridge Freezer - Inox,499.99,4.6,826.0
LOGIK LFC50B20 50/50 Fridge Freezer - Black,279.99,3.4,327.0
ESSENTIALS C50TW20 70/30 Fridge Freezer - White,199.99,4.0,539.0
KENWOOD KSBNDIX20 American-Style Fridge Freezer - Inox,899.99,4.5,222.0
SAMSUNG Bespoke RB38A7B53S9/EU 70/30 Fridge Freezer - Matte Stainless,1099.99,4.6,18.0
INDESIT IBD 5517 W UK 1 50/50 Fridge Freezer - White,309.99,4.4,1143.0
BEKO Pro HarvestFresh CXFG3691VA 50/50 Fridge Freezer - Anthracite,429.99,4.5,328.0
SAMSUNG RB38T633ESA/EU 70/30 Fridge Freezer - Silver,749.99,4.55,509.0
SAMSUNG RB34T632EBN/EU 70/30 Fridge Freezer - Black,489.99,4.55,510.0
BEKO Pro HarvestFresh BCFD3V73 Integrated 70/30 Fridge Freezer - Sliding Hinge,519.0,4.3,153.0
BEKO CXFP3582DS 50/50 Fridge Freezer - Silver,379.99,4.45,1589.0
SAMSUNG RL4363SBASL/EU 70/30 Fridge Freezer - Aluminium,959.99,4.45,31.0
HISENSE PureFlat RS694N4TCF American-Style Fridge Freezer - Stainless Steel,799.99,4.75,97.0
HOTPOINT HBD 5517 W UK 1 50/50 Fridge Freezer - White,329.99,4.25,5075.0
HAIER HB16FMAA Fridge Freezer - Stainless Steel,649.99,4.65,1506.0
ESSENTIALS CIFF5020 Integrated 50/50 Fridge Freezer - Sliding Hinge,259.0,4.0,96.0
LOGIK LESSBSX22 Slim American-Style Fridge Freezer - Inox,499.99,4.65,24.0
BEKO CXFG3552W 50/50 Fridge Freezer - White,299.0,4.45,2466.0
KENWOOD KSBS4DX20 Fridge Freezer - Inox,679.99,4.65,218.0
SAMSUNG RB34T652DWW/EU 70/30 Fridge Freezer - White,499.99,4.5,116.0
GRUNDIG GKF35810N 50/50 Fridge Freezer - Brushed Steel,399.99,4.55,695.0
BEKO Pro BCFD350 Integrated 50/50 Fridge Freezer,459.0,4.0,109.0
MONTPELLIER MS175BK 50/50 Fridge Freezer - Black,289.99,4.2,188.0
BEKO CFG3552S 50/50 Fridge Freezer - Silver,319.99,4.45,947.0
BEKO CFG3552B 50/50 Fridge Freezer - Black,319.99,4.45,947.0
KENWOOD KNFD2MX20 70/30 Fridge Freezer - Inox,449.0,4.45,155.0
BEKO CFG3582DW 50/50 Fridge Freezer - White,349.99,4.45,697.0
LOGIK LNFD55X20 50/50 Fridge Freezer - Inox,349.99,4.45,320.0
HOOVER HVNB 618FX5WDK 50/50 Fridge Freezer - Stainless Steel,379.99,4.6,54.0
HAIER HTR5619FNMI 70/30 Fridge Freezer - Inox,549.99,4.75,288.0
BOSCH KGN27NLFAG 50/50 Fridge Freezer - Inox,429.99,4.4,64.0
HAIER HTR5619FWMI 70/30 Fridge Freezer - Stainless Steel,579.99,4.55,98.0
BEKO CSG3571S 60/40 Fridge Freezer - Silver,319.99,4.1,226.0
BEKO CFG3582B 50/50 Fridge Freezer - Black,339.99,4.45,1443.0
KENWOOD KSBSB20 American-Style Fridge Freezer - Black,599.99,4.6,263.0
LG UVnano GSLD81PZRF American-Style Smart Fridge Freezer - Shiny Steel,1199.99,4.7,17.0
LOGIK LFF55S18 50/50 Fridge Freezer - Silver,309.99,4.15,368.0
KENWOOD KNF60X19 60/40 Fridge Freezer – Silver,399.0,4.55,2143.0
HOTPOINT HBC18 5050 F1 Integrated 50/50 Fridge Freezer - Sliding Hinge,439.0,4.15,47.0
SAMSUNG RS3000 RS50N3513BC/EU American-Style Fridge Freezer - Black,1249.99,4.3,864.0
SAMSUNG RB31FDRNDSA/EU 70/30 Fridge Freezer - Silver,609.99,4.6,3255.0
BEKO Pro BCFD373 Integrated 70/30 Fridge Freezer,449.0,4.15,163.0
KENWOOD KSBSX20 American-Style Fridge Freezer - Inox,599.99,4.6,1004.0
BEKO CSG3571W 60/40 Fridge Freezer - White,299.99,4.1,226.0
SAMSUNG BRB26600FWW/EU Integrated 70/30 Fridge Freezer - Sliding Hinge,619.0,4.4,37.0
LOGIK LNFD55W20 50/50 Fridge Freezer - White,299.99,4.55,443.0
KENWOOD KMD70X19 Fridge Freezer - Inox,579.99,4.4,240.0
INDESIT IBC18 5050 F1 Integrated 50/50 Fridge Freezer - Sliding Hinge,469.0,,0.0
KENWOOD KSBSDB19 American-Style Fridge Freezer - Black,699.99,4.6,662.0
BEKO Pro CXFG3790S 50/50 Fridge Freezer - Silver,499.99,4.55,355.0
BEKO CSG3582W 50/50 Fridge Freezer - White,329.99,4.4,2101.0
BEKO CFG3552W 50/50 Fridge Freezer - White,329.99,4.45,947.0
HISENSE RB327N4WB1 50/50 Fridge Freezer - Black,359.99,4.4,258.0
BOSCH Serie 2 KGN34NLEAG 50/50 Fridge Freezer - Silver,479.99,4.55,283.0
BEKO CFG1501W 40/60 Fridge Freezer - White,399.99,4.5,1186.0
HAIER Cube Series HB16WMAA 70/30 Fridge Freezer - Stainless Steel,699.99,4.65,530.0
KENWOOD KMD60X19 Fridge Freezer - Inox,529.99,4.5,574.0
LOGIK LNF55X20 50/50 Fridge Freezer - Inox,339.99,4.55,166.0
BEKO CSG3582DB 50/50 Fridge Freezer - Black,349.99,4.4,689.0
HOTPOINT HBNF 55181 W UK 1 50/50 Fridge Freezer - White,369.99,4.25,1742.0
BEKO Pro HarvestFresh GNE490IR3VPS Fridge Freezer - Stainless Steel Effect,849.99,4.5,62.0
BEKO HarvestFresh BCFD4V50 Integrated 50/50 Fridge Freezer - Sliding Hinge,529.0,,0.0
BEKO Pro HarvestFresh CXFG3601VW 50/50 Fridge Freezer - White,479.99,4.25,138.0
HISENSE PureFlat RF540N4WF1 Fridge Freezer - Black Steel,799.99,4.5,225.0
MONTPELLIER MS175W 50/50 Fridge Freezer - White,299.99,4.4,119.0
BEKO ASL1331PX American-Style Fridge Freezer - Brushed Steel,619.99,4.5,123.0
LOGIK LFF55W18 50/50 Fridge Freezer - White,319.99,4.15,325.0
ESSENTIALS C50BW16 60/40 Fridge Freezer - White,229.99,4.15,2242.0
HOTPOINT FFU4D X 1 Fridge Freezer - Inox,649.99,4.4,2638.0
HISENSE RB327N4WW1 50/50 Fridge Freezer - White,349.99,4.5,381.0
BEKO CFG3582DS 50/50 Fridge Freezer - Silver,379.99,4.45,697.0
SAMSUNG RB38T602CS9/EU 70/30 Fridge Freezer - Matte Stainless Steel,749.99,4.45,116.0
HISENSE RB440N4WWF 60/40 Fridge Freezer - White,429.99,4.55,64.0
BEKO CFG1501S 40/60 Fridge Freezer - Silver,429.99,4.5,551.0
KENWOOD KSBSDIX20 American-Style Fridge Freezer - Inox,799.99,4.4,1416.0
HOOVER HVNB 618FB5K 50/50 Fridge Freezer - Black,369.99,4.65,6.0
BEKO BCSD173 Integrated 70/30 Fridge Freezer - Sliding Hinge,439.0,4.25,593.0
LOGIK LSBSW20 American-Style Fridge Freezer - White,599.99,4.7,329.0
BEKO CSP3685PS 60/40 Fridge Freezer - Stainless Steel,329.99,4.35,77.0
INDESIT IBD 5515 S 1 60/40 Fridge Freezer - Silver,279.99,3.95,74.0
HISENSE PureFlat RF749N4WIF Fridge Freezer - Stainless Steel,1099.99,,0.0
HISENSE RB395N4WC1 60/40 Fridge Freezer - Stainless Steel,379.99,4.5,118.0
BEKO Pro CXFG3790G 50/50 Fridge Freezer - Graphite,549.99,4.55,355.0
BEKO Pro HarvestFresh ASD2342VPS American-Style Fridge Freezer - Stainless Steel,799.99,4.65,49.0
HISENSE PureFlat RS694N4TFF American-Style Fridge Freezer - Black,749.99,4.4,53.0
BEKO CXFP3582W 50/50 Fridge Freezer - White,379.99,4.4,1877.0
BEKO Pro HarvestFresh CXFG3685DVPS 60/40 Fridge Freezer - Stainless Steel Effect,479.99,4.4,112.0
GRUNDIG BioFridge VitaminZone GKN67920DX 60/40 Fridge Freezer - Stainless Steel,699.99,4.45,33.0
SAMSUNG RS6HA8880S9/EU American-Style Smart Fridge Freezer - Matte Stainless,2499.99,4.35,19.0
BEKO Pro HarvestFresh CNG3582VW 50/50 Fridge Freezer - White,389.99,,0.0
BEKO HarvestFresh CFB3G3686VPS 60/40 Fridge Freezer - Stainless Steel,519.0,,0.0
BEKO BCSD150 Integrated 50/50 Fridge Freezer,429.0,4.25,245.0
SAMSUNG BRB26705DWW/EU Integrated 70/30 Fridge Freezer - Sliding Hinge,859.0,4.5,11.0
HAIER HETR3619FWMG 70/30 Fridge Freezer - Gentle Silver,629.99,4.95,12.0
HISENSE PureFlat RS694N4TBF American-Style Fridge Freezer - Black,829.99,4.35,95.0
LG NatureFRESH GBB61DSJEN 60/40 Fridge Freezer - Graphite,549.99,4.6,11.0
SAMSUNG RS8000 RS68A8840B1/EU American-Style Fridge Freezer - Black Stainless Steel,1499.99,4.45,1803.0
SAMSUNG RS3000 RS54N3103SA/EU American-Style Fridge Freezer - Metal Graphite,1099.99,4.6,308.0
HOOVER HCF5172XK 50/50 Fridge Freezer - Inox,399.99,4.05,428.0
KENWOOD KNFD2MX22 70/30 Fridge Freezer - Inox,449.99,,0.0
INDESIT IBD 5517 S UK 1 50/50 Fridge Freezer - Silver,339.99,4.25,418.0
HOTPOINT FFU4D K 1 Fridge Freezer - Black,679.99,4.45,197.0
SHARP SJ-BB02DTXWF 50/50 Fridge Freezer - White,279.99,3.7,48.0
HOOVER HVN 6182W5KN 50/50 Fridge Freezer - White,399.99,4.5,347.0
CANDY CBL3518FK Integrated Smart 70/30 Fridge Freezer - Sliding Hinge,359.0,,0.0
SAMSUNG Bespoke RB34A6B2E12/EU 70/30 Fridge Freezer - White,869.99,4.5,21.0
GRUNDIG GKF35810DN 50/50 Fridge Freezer - Brushed Steel,399.99,4.55,695.0
