Product Name,Price (£),Customer Rating,Rating Count
BOSE QuietComfort Wireless Bluetooth Noise-Cancelling Earbuds - Triple Black,199.0,4.35,261.0
JBL Live Pro+ TWS Wireless Bluetooth Noise-Cancelling Earbuds - Black,99.99,4.35,136.0
BOSE QuietComfort Wireless Bluetooth Noise-Cancelling Earbuds - Soapstone,199.0,4.35,261.0
SONY WF-1000XM4 Wireless Bluetooth Noise-Cancelling Earbuds - Silver,219.0,4.35,466.0
JBL Live Pro+ TWS Wireless Bluetooth Noise-Cancelling Earbuds - White,99.99,4.35,136.0
SONY WH-1000XM5 Wireless Bluetooth Noise-Cancelling Headphones - Black,380.0,,0.0
SONY WH-1000XM5 Wireless Bluetooth Noise-Cancelling Headphones - Silver,380.0,,0.0
SAMSUNG Galaxy Buds 2 - Graphite,99.0,4.45,89.0
SONY WF-C500 Wireless Bluetooth Earbuds - Black,59.0,4.45,85.0
JBL Tune 230TWS Wireless Bluetooth Noise-Cancelling Earbuds - Black,49.99,4.5,22.0
SAMSUNG Galaxy Buds Pro Wireless Bluetooth Noise-Cancelling Sports Earbuds - Phantom Black,179.0,4.05,62.0
SAMSUNG Galaxy Buds 2 - White,99.0,4.25,37.0
SAMSUNG Galaxy Buds Live - Mystic Black,139.0,4.1,456.0
BOSE QuietComfort 45 Wireless Bluetooth Noise-Cancelling Headphones - Black,319.0,4.8,62.0
JBL Tune 760NC Wireless Bluetooth Noise-Cancelling Headphones - Black,59.99,3.65,16.0
JBL Tune 230TWS Wireless Bluetooth Noise-Cancelling Earbuds - White,49.99,3.8,8.0
APPLE AirPods with Charging Case (2nd generation) - White,99.0,4.7,6012.0
APPLE AirPods with MagSafe Charging Case (3rd generation) - White,159.0,4.35,395.0
APPLE AirPods Pro with MagSafe Charging Case - White,219.0,4.65,367.0
APPLE EarPods with Lightning Connector - White,19.0,4.35,247.0
BEATS Solo 3 Wireless Bluetooth Headphones - Rose Gold,159.0,4.7,241.0
JBL Tune 130NC Wireless Bluetooth Noise-Cancelling Earbuds - Black,49.0,4.25,21.0
APPLE AirPods Max Wireless Bluetooth Noise-Cancelling Headphones - Sky Blue,469.0,4.15,9.0
SONY WH-1000XM4 Wireless Bluetooth Noise-Cancelling Headphones - Black,279.0,4.6,608.0
BEATS Solo 3 Wireless Bluetooth Headphones - Black,189.0,4.55,300.0
JBL Tune 510BT Wireless Bluetooth Headphones - Black,29.99,4.35,90.0
APPLE AirPods Wireless Charging Case,79.0,4.4,55.0
SONY WH-1000XM4 Wireless Bluetooth Noise-Cancelling Headphones - Silver,279.0,4.6,608.0
SKULLCANDY Push Active Wireless Bluetooth Sports Earbuds - True Black & Orange,59.99,4.15,23.0
SONY WH-XB910N Wireless Bluetooth Noise-Cancelling Headphones - Black,139.0,3.8,5.0
SONY WH-CH510 Wireless Bluetooth Headphones - Black,39.99,4.3,586.0
JLAB AUDIO GO Air POP Wireless Bluetooth Earbuds - Black,19.99,4.1,11.0
BEATS Powerbeats Pro Wireless Bluetooth Sports Earphones - Black,219.0,4.55,278.0
SONY WH-1000XM4 Wireless Bluetooth Noise-Cancelling Headphones - Blue,279.0,4.6,608.0
JBL Live 660NC Wireless Bluetooth Noise-Cancelling Headphones - Black,99.0,4.55,22.0
BEATS Studio 3 Wireless Bluetooth Noise-Cancelling Headphones - Shadow Grey,299.0,4.45,435.0
JVC Tinyphones HA-KD7 Kids Headphones - Blue & Red,9.99,4.5,26.0
APPLE AirPods Max Wireless Bluetooth Noise-Cancelling Headphones - Silver,549.0,4.4,29.0
SONY WH-CH710N Wireless Bluetooth Noise-Cancelling Headphones - Black,95.99,4.2,428.0
SONY MDR-ZX310APB Headphones - Black,17.99,4.25,965.0
JBL Wave 300TWS Wireless Bluetooth Earbuds - Black,39.99,3.45,16.0
BOSE Wireless Bluetooth Noise-Cancelling Headphones 700 - Black,279.0,4.45,213.0
JLAB AUDIO GO Air POP Wireless Bluetooth Earbuds - Lilac,19.99,4.65,8.0
JBL Wave 300TWS Wireless Bluetooth Earbuds - White,39.99,3.5,3.0
JBL Tune 130NC Wireless Bluetooth Noise-Cancelling Earbuds - White,49.0,3.6,5.0
BEATS Powerbeats Pro Wireless Bluetooth Sports Earphones - Navy,219.0,4.3,119.0
APPLE AirPods Max Wireless Bluetooth Noise-Cancelling Headphones - Space Grey,549.0,4.35,52.0
BEATS Studio 3 Wireless Bluetooth Noise-Cancelling Headphones - Blue,299.0,4.45,435.0
GOJI GKIDBTB18 Wireless Bluetooth Kids Headphones - Blue,24.99,4.1,51.0
BEATS Fit Pro Wireless Bluetooth Noise-Cancelling Sports Earbuds - Beats Black,199.0,3.85,6.0
GOOGLE Pixel Buds A-Series Wireless Bluetooth Earphones - Dark Olive,99.0,4.5,51.0
SONY WF-C500 Wireless Bluetooth Earbuds - Green,59.0,4.45,85.0
JLAB AUDIO GO Air POP Wireless Bluetooth Earbuds - Slate,19.99,3.6,10.0
BEATS Studio Buds Wireless Bluetooth Noise-Cancelling Earbuds - Black,99.0,3.85,25.0
SAMSUNG Galaxy Buds Pro Wireless Bluetooth Noise-Cancelling Sports Earbuds - Phantom Silver,179.0,4.35,15.0
SKULLCANDY Hesh ANC Wireless Bluetooth Noise-Cancelling Headphones - White,89.99,4.45,40.0
GOJI GTCNCPM21 Wireless Bluetooth Noise-Cancelling Headphones - Black,59.99,4.2,31.0
AFTERSHOKZ Aeropex Wireless Bluetooth Headphones - Grey,119.0,4.5,185.0
JLAB AUDIO GO Air Wireless Bluetooth Earbuds - White & Grey,19.97,3.6,17.0
SONY WH-CH510 Wireless Bluetooth Headphones - Blue,39.99,4.2,314.0
APPLE AirPods Max Wireless Bluetooth Noise-Cancelling Headphones - Green,549.0,5.0,3.0
SONY WH-CH510 Wireless Bluetooth Headphones - White,39.99,4.45,282.0
SONY WF-1000XM3 Wireless Bluetooth Noise-Cancelling Earbuds - Silver,98.97,4.1,538.0
BEATS Studio 3 Wireless Bluetooth Noise-Cancelling Headphones - Black,299.0,4.45,435.0
BEATS Studio Buds Wireless Bluetooth Noise-Cancelling Earbuds - White,99.0,3.85,7.0
SAMSUNG Galaxy Buds Live - Mystic Bronze,139.0,4.1,456.0
SONY WH-CH710N Wireless Bluetooth Noise-Cancelling Headphones - Blue,95.99,4.2,428.0
JLAB AUDIO Go Air Sport Wireless Bluetooth Earbuds - Graphite,29.99,,0.0
JBL Jr310 Kids Headphones - Blue & Pink,24.99,5.0,1.0
SONY WF-C500 Wireless Bluetooth Earbuds - White,59.0,4.45,85.0
