Product Name,Price (£),Customer Rating,Rating Count
HP DeskJet 2721e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,59.99,4.15,450.0
HP ENVY 6032e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,89.99,4.15,445.0
HP ENVY Inspire 7924e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,149.99,,0.0
HP LaserJet M209dwe Monochrome Wireless Laser Printer & Instant Ink with HP+,199.99,3.5,5.0
CANON PIXMA TS3355 All-in-One Wireless Inkjet Printer,44.99,4.05,2340.0
EPSON EcoTank ET-2820 All-in-One Wireless Inkjet Printer,209.99,4.3,205.0
EPSON EcoTank ET-2826 All-in-One Wireless Inkjet Printer,199.99,4.25,92.0
EPSON EcoTank ET-2850 All-in-One Wireless Inkjet Printer,254.99,4.3,116.0
HP DeskJet 4120e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,64.99,,0.0
HP MFP 178nw All-in-One Wireless Laser Colour Printer,259.99,4.0,291.0
EPSON EcoTank ET-2810 All-in-One Wireless Inkjet Printer,189.99,4.0,50.0
CANON PIXMA TR-4550 All-in-One Wireless Inkjet Printer with Fax & PG-545 Black Ink Cartridge Bundle,52.78,,0.0
HP ENVY Inspire 7224e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,109.99,,0.0
HP DeskJet Plus 4130e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,69.99,3.95,276.0
HP DeskJet 2710e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,49.99,4.05,1269.0
HP OfficeJet Pro 8024e All-in-One Wireless Inkjet Printer with Fax & Instant Ink with HP+,149.99,4.15,85.0
BROTHER HLL2350DW Monochrome Wireless Laser Printer,129.99,4.5,625.0
CANON PIXMA TS8351a All-in-One Wireless Inkjet Printer,149.99,,0.0
HP LaserJet M110WE Monochrome Wireless Laser Printer & Instant Ink with HP+,109.99,,0.0
CANON PIXMA TS5350 All-in-One Wireless Inkjet Printer,69.97,4.05,1529.0
HP ENVY Inspire 7924e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,149.99,,0.0
CANON PIXMA TS8351 All-in-One Wireless Inkjet Printer,149.99,4.15,568.0
HP OfficeJet Pro 9019e All-in-One Wireless Inkjet Printer with Fax & Instant Ink with HP+,259.99,4.5,23.0
HP ENVY 6420e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,99.99,4.35,12.0
BROTHER MFCJ6530DW All-in-One Wireless A3 Inkjet Printer with Fax,279.99,4.35,348.0
BROTHER MFCL3750CDW All-in-One Laser Printer with Fax,349.99,4.55,172.0
HP DeskJet 4122e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,64.99,3.9,41.0
EPSON WorkForce WF-2840DWF All-in-One Wireless Inkjet Printer with Fax,69.0,,0.0
EPSON EcoTank ET-4800 All-in-One Wireless Inkjet Printer with Fax,279.99,4.2,23.0
CANON PIXMA TR4650 All-in-One Wireless Inkjet Printer with Fax,59.99,4.1,76.0
CRICUT Explore Air 2 DIY Digital Cutting & Printing Machine,209.99,4.4,6.0
HP Smart Tank 7305 All-in-One Wireless Inkjet Printer,299.99,4.55,11.0
INSTAX mini Link Photo Printer - Ash White,99.0,4.5,74.0
CANON PIXMA G3560 MegaTank All-in-One Wireless Inkjet Printer,219.99,4.0,5.0
HP ENVY 6432e All-in-One Wireless Inkjet Printer with Fax & Instant Ink with HP+,119.99,4.3,127.0
EPSON EcoTank ET-3850 All-in-One Wireless Inkjet Printer,349.99,3.7,21.0
HP Colour Laser 150nw Wireless Laser Printer,189.99,3.85,162.0
BROTHER MFCL2710DW Monochrome All-in-One Wireless Laser Printer with Fax,179.99,4.35,268.0
CANON PIXMA TS7451a All-in-One Wireless Inkjet Printer - White,79.99,,0.0
EPSON WorkForce Pro WF-3820DWF All-in-One Wireless Inkjet Printer with Fax,109.0,4.2,11.0
HP Smart Tank Plus 555 All-in-One Wireless Inkjet Printer,209.99,3.9,550.0
CANON PIXMA G4511 MegaTank All-in-One Wireless Inkjet Printer with Fax,259.99,3.95,273.0
HP LaserJet M140WE Monochrome All-in-One Wireless Laser Printer & Instant Ink with HP+,159.99,3.85,7.0
BROTHER MFCJ4335DW All-in-One Wireless Inkjet Printer with Fax,179.99,4.55,8.0
HP OfficeJet 8014e All-in-One Wireless Inkjet Printer & Instant Ink with HP+,149.99,4.05,14.0
BROTHER DCPL2510D Monochrome All-in-One Laser Printer,139.99,4.45,85.0
CRICUT Maker DIY Digital Cutting Machine - Champagne,259.99,4.95,11.0
CANON PIXMA iX6850 Wireless A3 Inkjet Printer,179.97,4.4,298.0
CANON Maxify MB2155 All-in-One Wireless Inkjet Printer with Fax,139.97,4.3,45.0
BROTHER HL-1212W All In Box Monochrome Wireless Laser Printer Bundle,179.99,4.3,137.0
CANON imagePROGRAF PRO-300 Wireless A3 Photo Printer,699.99,4.9,14.0
EPSON WorkForce WF-2870DWF All-in-One Wireless Inkjet Printer with Fax,76.99,,0.0
CANON SELPHY CP1300 Wireless Photo Printer - Black,129.0,4.35,188.0
BROTHER MFCL3710CW All-in-One Laser Printer with Fax,319.99,4.4,59.0
EPSON WorkForce WF-110W Wireless Inkjet Printer,187.0,4.75,6.0
CRICUT Joy DIY Digital Cutting & Printing Machine,179.99,4.4,92.0
CANON PIXMA G6050 MegaTank All-in-One Wireless Inkjet Printer,279.99,4.1,202.0
BROTHER HLL3230CDW Wireless Laser Colour Printer,229.99,4.4,264.0
EPSON EcoTank ET-5150 All-in-One Wireless Inkjet Printer,347.0,3.6,17.0
