Product Name,Price (£),Customer Rating,Rating Count
FITBIT Versa 3 - Soft Gold & Olive,159.0,4.3,130.0
FITBIT Versa 3 - Black,159.0,4.2,477.0
"SAMSUNG Galaxy Watch4 Classic BT - Stainless Steel, Black, 42 mm",349.0,3.9,20.0
"HUAWEI Watch GT 3 Active - Black, 46 mm",169.0,4.5,14.0
"SAMSUNG Galaxy Watch4 Classic BT - Stainless Steel, Silver, 46 mm",369.0,4.6,41.0
"APPLE Watch SE - Space Grey Aluminium with Anthracite & Black Nike Sports Band, 40 mm",249.0,4.4,32.0
FITBIT Versa 3 - Midnight & Soft Gold,159.0,4.3,500.0
FITBIT Versa 3 - Pink Clay & Soft Gold,159.0,4.35,414.0
"HUAWEI Watch GT 2 Pro - Night Black, 46 mm",139.0,4.5,213.0
"SAMSUNG Galaxy Watch4 Classic BT - Stainless Steel, Black, 46 mm",369.0,3.95,82.0
"SAMSUNG Galaxy Watch4 Classic 4G - Stainless Steel, Black, 46 mm",409.0,4.05,36.0
"HUAWEI Watch GT 3 Active - Black, 46 mm",169.0,4.5,14.0
"APPLE Watch SE Cellular - Space Grey Aluminium with Anthracite & Black Nike Sports Band, 40 mm",299.0,4.65,3.0
"SAMSUNG Galaxy Watch4 Classic BT - Stainless Steel, Silver, 46 mm",369.0,4.6,41.0
"SAMSUNG Galaxy Watch4 Classic BT - Stainless Steel, Black, 42 mm",349.0,3.9,20.0
"GARMIN Forerunner 55 Running Watch - Grey, Universal",179.0,4.8,8.0
"GARMIN Instinct 2 - Electric Lime, 45 mm",289.0,,0.0
GARMIN Instinct 2S Solar - Graphite,389.0,,0.0
"HUAWEI Watch 3 Pro Elite - Silver, 48 mm",499.0,4.75,2.0
"GARMIN Instinct 2S - Graphite, Small",299.0,,0.0
"APPLE Watch SE - Gold with Starlight Sports Band, 40 mm",249.0,4.6,217.0
"APPLE Watch Series 3 - Space Grey & Black Sports Band, 38 mm",178.0,4.6,2631.0
"GARMIN fenix 7 Solar - Slate Grey & Black, 47 mm",689.0,,0.0
"GARMIN Instinct 2 - Graphite, 45 mm",289.0,,0.0
"GARMIN Instinct 2S Solar - Mist Grey, 40 mm",389.0,,0.0
"GARMIN fenix 7S Solar - Rose Gold & Light Sand, 42 mm",689.0,4.0,1.0
FITBIT Versa 2 with Amazon Alexa - Emerald & Copper Rose,119.0,4.4,771.0
FITBIT Versa 2 with Amazon Alexa - Petal & Copper Rose,119.0,4.4,1758.0
"APPLE Watch Series 3 - Silver & White Sports Band, 38 mm",179.0,4.6,2631.0
"APPLE Watch Series 7 - Starlight Aluminium with Starlight Sports Band, 41 mm",369.0,4.65,128.0
"APPLE Watch Series 7 - Midnight Aluminium with Midnight Sports Band, 45 mm",394.0,4.7,194.0
"APPLE Watch SE - Space Grey with Pure Platinum & Midnight Sports Band, 40 mm",249.0,4.5,79.0
FITBIT Versa 2 with Amazon Alexa - Black & Aluminium,119.0,4.4,1758.0
"APPLE Watch Series 7 - Blue Aluminium with Abyss Blue Sports Band, 41 mm",359.0,4.65,86.0
"SAMSUNG Galaxy Watch4 BT - Aluminium, Pink Gold, 40 mm",249.0,4.15,73.0
"APPLE Watch Series 7 - Blue Aluminium with Abyss Blue Sports Band, 45 mm",389.0,4.7,119.0
"APPLE Watch SE - Space Grey Aluminium with Midnight Sports Band, 44 mm",279.0,4.65,41.0
FITBIT Versa 2 with Amazon Alexa - Grey & Aluminium,119.0,4.4,1758.0
"APPLE Watch Series 7 - Starlight Aluminium with Starlight Sports Band, 45 mm",389.0,4.9,63.0
"APPLE Watch Series 7 Cellular - Midnight Aluminium with Midnight Sport Band, 45 mm",489.0,4.6,47.0
"APPLE Watch Series 3 - Space Grey & Black Sports Band, 42 mm",208.0,4.6,991.0
"HUAWEI Watch GT 2 Sport - 42 mm, Night Black",82.0,4.55,414.0
"SAMSUNG Galaxy Watch4 BT - Aluminium, Black, 40 mm",249.0,4.2,59.0
"APPLE Watch SE Cellular - Gold Aluminium with Starlight Sports Band, 40 mm",299.0,4.4,14.0
FITBIT Sense - Carbon & Graphite,199.0,4.0,167.0
FITBIT Sense - Lunar White & Soft Gold,199.0,4.05,155.0
