Product Name,Price (£),Customer Rating,Rating Count
BOSCH Serie 4 WTN85280GB Condenser Tumble Dryer - White,429.99,4.25,718.0
BOSCH Serie 4 WTH84000GB 8 kg Heat Pump Tumble Dryer - White,469.99,4.15,119.0
SAMSUNG DV9BTA020AE 9 kg Heat Pump Tumble Dryer - White,599.99,4.75,11.0
LOGIK LCD7W18 7 kg Condenser Tumble Dryer - White,189.0,4.6,2337.0
LOGIK LVD7W18 7 kg Vented Tumble Dryer - White,189.0,4.35,3319.0
LOGIK LCD8W18 8 kg Condenser Tumble Dryer - White,199.99,4.45,1301.0
LOGIK LHP8W18 8 kg Heat Pump Tumble Dryer - White,299.0,4.45,770.0
BEKO DTKCE80021W 8 kg Condenser Tumble Dryer - White,229.99,4.5,4633.0
SAMSUNG Series 5+ DV90T5240AW/S1 WiFi-enabled 9 kg Heat Pump Tumble Dryer - White,749.99,4.5,163.0
INDESIT I1 D80W UK 8 kg Vented Tumble Dryer - White,239.99,4.35,661.0
BEKO DTLCE70051W 7 kg Condenser Tumble Dryer - White,209.99,4.55,837.0
BEKO Pro DCX83120W 8 kg Condenser Tumble Dryer - White,309.99,4.6,668.0
CANDY Smart Pro CSOE C10TG WiFi-enabled 10 kg Condenser Tumble Dryer - White,279.0,4.4,61.0
SAMSUNG Series 5 DV80TA020TH/EU 8 kg Heat Pump Tumble Dryer - White,599.99,4.65,320.0
BEKO DTBC10001W 10 kg Condenser Tumble Dryer - White,259.99,4.6,1866.0
INDESIT I2 D81W UK 8 kg Condenser Tumble Dryer - White,269.99,4.45,770.0
HOTPOINT H3 D91GS UK 9 kg Condenser Tumble Dryer - Graphite,389.99,4.2,87.0
CANDY Smart KSE C8LF NFC 8 kg Condenser Tumble Dryer - White,229.99,4.25,206.0
SAMSUNG Series 5 DV80TA020AE/EU 8 kg Heat Pump Tumble Dryer - White,579.99,4.65,320.0
SHARP KD-NCB8S7PB9-EN 8 kg Condenser Tumble Dryer - Black,299.99,4.3,126.0
BEKO DTKCE90021W 9 kg Condenser Tumble Dryer - White,239.99,4.5,1155.0
SAMSUNG Series 9 DV90T8240SX/S1 WiFi-enabled 9 kg Heat Pump Tumble Dryer - Graphite,899.0,4.55,70.0
SAMSUNG Series 5 DV90TA040AX/EU 9 kg Heat Pump Tumble Dryer - Graphite,699.99,4.4,162.0
SAMSUNG Series 6 DV90T6240LN/S1 WiFi-enabled 9 kg Heat Pump Tumble Dryer - Graphite,799.99,4.6,63.0
HOOVER H-Dry 300 HLE C10DE NFC 10 kg Condenser Tumble Dryer - White,319.99,4.3,50.0
SAMSUNG Series 5 DV80TA020AX/EU 8 kg Heat Pump Tumble Dryer - Graphite,649.99,4.65,320.0
BOSCH Serie 6 WTWH7660GB WiFi-enabled 9 kg Heat Pump Tumble Dryer - White,719.99,4.6,266.0
BOSCH Serie 4 WTH85222GB 8 kg Heat Pump Tumble Dryer - White,529.99,4.3,52.0
MONTPELLIER MTD30P 3 kg Vented Tumble Dryer - White,199.0,4.15,290.0
SAMSUNG Series 5+ DV80T5220AN/S1 WiFi-enabled 8 kg Heat Pump Tumble Dryer - Graphite,699.99,4.5,151.0
HOOVER H-Dry 500 NDE H10A2TCE WiFi-enabled 10 kg Heat Pump Tumble Dryer – White,479.99,3.75,30.0
HOOVER H-Dry 300 HLE C9DRGR WiFi-enabled 9kg Condenser Tumble Dryer - Graphite,339.99,4.0,30.0
HOOVER H-Dry 300 HLE C9DG NFC 9 kg Condenser Tumble Dryer - White,269.99,3.9,1922.0
HOOVER H-Dry 300 HLE C10DCER NFC 10 kg Condenser Tumble Dryer - Graphite,389.99,4.4,16.0
BEKO Pro DHX83420W 8 kg Heat Pump Tumble Dryer - White,419.99,4.5,463.0
HOTPOINT H3 D91WB UK 9 kg Condenser Tumble Dryer - White,369.99,4.2,90.0
HOTPOINT Active Care NT M11 92XB UK 9 kg Heat Pump Tumble Dryer - White,449.99,4.25,189.0
HOTPOINT H2 D81W UK 8 kg Condenser Tumble Dryer - White,289.99,4.45,462.0
SAMSUNG Series 9 DV90T8240SH/S1 WiFi-enabled 9 kg Heat Pump Tumble Dryer - White,849.99,4.55,70.0
BEKO DTLP81151W 8 kg Heat Pump Tumble Dryer - White,429.99,4.5,30.0
HOOVER H-Dry 300 HLE C10DRGR WiFi-enabled 10 kg Condenser Tumble Dryer - Graphite,359.99,3.75,176.0
MONTPELLIER MVSD7W 7 kg Vented Tumble Dryer - White,219.0,4.2,77.0
