Product Name,Price (£),Customer Rating,Rating Count
SAMSUNG Jet 60 Turbo Max 150 W Suction Power Cordless Vacuum Cleaner with Jet Fit Brush - Teal Violet & Cotta Black,199.0,4.75,32.0
HOOVER Upright 300 Pets HU300UPT Bagless Vacuum Cleaner - Blue & Grey,149.0,4.35,118.0
SHARK Anti Hair Wrap Plus Powered Lift-Away & Pet Tool AZ912UKT Upright Bagless Vacuum Cleaner - Mojito,199.0,4.6,205.0
SHARK Anti Hair Wrap with Pet Tool IZ201UKT Cordless Vacuum Cleaner - Teal,227.53,4.55,10672.0
SHARK Anti Hair Wrap with PowerFins IZ300UKT Cordless Vacuum Cleaner - Ruby,279.0,4.45,723.0
SHARK DuoClean Lift-Away & Pet Tool NV702UKT Upright Bagless Vacuum Cleaner - Grey & Rose Gold,179.0,4.6,1631.0
DYSON V15 Detect Absolute Cordless Vacuum Cleaner - Yellow & Nickel,599.99,4.55,257.0
VAX Air Stretch Pet Max U85-AS-Pme Upright Bagless Vacuum Cleaner - Silver & Purple,99.99,4.25,1792.0
DYSON V7 Animal Cordless Vacuum Cleaner - Purple,249.0,4.5,2399.0
VAX Blade 4 Pet & Car CLSV-B4KC Cordless Vacuum Cleaner - Blue,299.0,4.2,79.0
VAX Air Lift Steerable Pet Max UCPMSHV1 Upright Bagless Vacuum Cleaner - Black & Pink,119.0,4.35,836.0
VAX ONEPWR Blade 4 CLSV-B4KS Cordless Vacuum Cleaner – Graphite,189.0,4.2,249.0
SAMSUNG Jet 90 Pro Max 200 W Suction Power Cordless Vacuum Cleaner with Spinning Sweeper - Silver,499.0,4.25,12.0
DYSON Omni-glide Cordless Vacuum Cleaner - Purple & Nickel,349.99,4.5,6.0
"DYSON V8 Animal Cordless Vacuum Cleaner - Nickel, Iron & Titanium",229.99,4.55,1491.0
DYSON Cyclone V10 Animal Cordless Vacuum Cleaner - Purple,299.99,4.65,1372.0
SHARK CH950UKT Handheld Vacuum Cleaner - Black,59.0,4.55,499.0
RUSSELL HOBBS Atlas2 RHCV3601 Cylinder Bagless Vacuum Cleaner - Purple & Grey,49.99,4.15,143.0
DYSON Outsize Absolute Cordless Vacuum Cleaner - Red & Nickel,699.0,4.7,91.0
SHARK Anti Hair Wrap IZ201UK Cordless Vacuum Cleaner - Orange,349.0,4.5,5170.0
SHARK Anti Hair Wrap with PowerFins & Pet Tool IZ320UKT Cordless Vacuum Cleaner - Blue,529.0,4.55,874.0
SHARK Anti Hair Wrap & PowerFins IZ300UK Cordless Vacuum Cleaner – Copper,399.0,4.45,426.0
NUMATIC Henry HVR 160-11 Cylinder Vacuum Cleaner - Blue,139.0,4.65,3242.0
SHARK Anti Hair Wrap AZ912UK Upright Bagless Vacuum Cleaner - Magenta,349.0,4.55,352.0
SHARK Lift-Away NV612UK Upright Bagless Vacuum Cleaner - Metallic Turquoise,249.0,4.45,384.0
