"ASUS Zenbook Flip UX363EA 13.3"" 2 in 1 Laptop - Intel® Core™ i5, 512 GB SSD, Grey"
"HP Pavilion 14-ec0537sa 14"" Laptop - AMD Ryzen 5, 256 GB SSD, Blue"
"ACER Aspire 5 A514-54 14"" Laptop & Microsoft 365 Personal Bundle - Intel® Core™ i5, 512 GB SSD"
"MICROSOFT 13.5"" Surface Laptop 4 - AMD Ryzen 5, 256 GB SSD, Platinum"
"ACER Swift 3 14"" Laptop - AMD Ryzen 5, 1 TB SSD, Blue"
"ASUS VivoBook M515UA 15.6"" Laptop - AMD Ryzen 5, 256 GB SSD, Silver"
"MICROSOFT 13"" Surface Pro 8 - Intel® Core™ i5, 256 GB SSD, Graphite"
"ACER Swift 3 14"" Laptop - AMD Ryzen 5, 1 TB SSD, Silver"
"ACER Aspire Vero AV15-51 15.6"" Laptop & Microsoft 365 Personal Bundle - Intel® Core™ i5, 512 GB"
"HP 15s-eq1516sa 15.6"" Laptop - AMD Ryzen 3, 128 GB SSD, Silver"
"DELL Inspiron 15 3511 15.6"" Laptop - Intel® Core™ i5, 256 GB SSD, Silver"
"ASUS CX15 15.6"" Chromebook - Intel® Celeron™, 64 GB eMMC, Silver"
"LENOVO Yoga 6 13.3"" 2 in 1 Laptop - AMD Ryzen 5, 256 GB SSD, Abyss Blue"
"MICROSOFT 13"" Surface Pro 8 - Intel® Core™ i5, 256 GB SSD, Platinum"
"ASUS C202 11.6"" Chromebook - 32 GB eMMC, Grey & Black"
"HP Pavilion 14-dv0626sa 14"" Laptop - Intel® Core™ i3, 256 GB SSD, Silver"
"LENOVO IdeaPad 3i 15.6"" Chromebook - Intel® Pentium®, 64 GB eMMC, Grey"
"LENOVO IdeaPad 3i 14"" Chromebook - Intel® Celeron®, 64 GB eMMC, Grey"
"ASUS C423 14"" Chromebook - Intel® Celeron™, 64 GB eMMC, Black & Silver"
"ASUS C523 15.6"" Chromebook - Intel® Celeron™, 64 GB eMMC, Silver"
"LENOVO IdeaPad 3i 14"" Laptop - Intel® Pentium® Gold, 128 GB SSD, Blue"
"HP ENVY x360 Convert 13.3"" 2 in 1 Laptop - Intel® Core™ i5, 256 GB SSD, Silver"
"MICROSOFT 12.3"" Surface Pro 7+ - Intel® Core™ i5, 128 GB SSD, Platinum"
"LENOVO IdeaPad 3i 14"" Laptop - Intel® Core™ i7, 512 GB SSD, Blue"
"LENOVO IdeaPad 3i 11.6"" Chromebook - Intel® Celeron®, 32 GB eMMC, Black"
"HP Pavilion 14-dv0603na 14"" Laptop - Intel® Pentium® Gold, 128 GB SSD, Silver"
"HP 15s-eq1542sa 15.6"" Laptop - AMD 3020e, 128 GB SSD, Silver"
"LENOVO IdeaPad 3i 14"" Laptop - Intel® Celeron®, 128 GB SSD, Blue"
"LENOVO IdeaPad 3 14"" Chromebook - MediaTek MT8183, 64 GB eMMC, Blue"
"ACER Aspire 5 A514-54 14"" Laptop - Intel® Core™ i5, 512 GB SSD, Silver"
